seed,train_design,eval_background,algorithm,auc,tss,boyce
7,tgb,stratified,randomforest,0.7117077043749171,0.39347840359423214,0.5653301726946692
7,hybrid,uniform,maxent,0.679383325111211,0.3856450548778251,0.692359459286831
7,hybrid,uniform,xgboost,0.7172381613761662,0.4151085943370898,0.4852781523427055
7,hybrid,uniform,randomforest,0.7226154098094743,0.43255925820691415,0.6317930779324016
7,hybrid,tgb,maxent,0.6747849099109826,0.37147020742487524,0.6868092040601478
7,hybrid,tgb,xgboost,0.7070128720210571,0.4048564374217777,0.4852781523427055
7,hybrid,tgb,randomforest,0.7102957474874741,0.40251280145279916,0.6317930779324016
7,hybrid,hybrid,maxent,0.7130441419429958,0.43080601235983423,0.6897965262572632
7,hybrid,hybrid,xgboost,0.7533470984258531,0.4552475190493839,0.4852781523427055
7,hybrid,hybrid,randomforest,0.7417692240933367,0.44889663422706205,0.6317930779324016
7,hybrid,stratified,maxent,0.691651325635412,0.393205473595514,0.6953595633461377
7,hybrid,stratified,xgboost,0.7154859006206591,0.42060748382338586,0.4852781523427055
7,hybrid,stratified,randomforest,0.7168290179462203,0.4275895230173446,0.6317930779324016
8,random,uniform,maxent,0.7025240077999905,0.42424010489259373,0.6347397471777254
8,random,uniform,xgboost,0.7083915674698501,0.42515221853387075,0.5736705578044249
8,random,uniform,randomforest,0.7138935826460818,0.42328475488148704,0.6943487618362749
8,random,tgb,maxent,0.6911956080280783,0.41228480071182927,0.6384854523421637
8,random,tgb,xgboost,0.6958174029958081,0.40649611683060344,0.5571530922822683
8,random,tgb,randomforest,0.7015834637778595,0.40467822348472654,0.7265370760870533
8,random,hybrid,maxent,0.6881796020046489,0.41635325316087224,0.6386794063642831
8,random,hybrid,xgboost,0.7248982128823858,0.44723915738624986,0.574257466423112
8,random,hybrid,randomforest,0.7220753390504566,0.44638167667304807,0.6941200790542511
8,random,stratified,maxent,0.7060845984127114,0.42171444118652046,0.6370586015111764
8,random,stratified,xgboost,0.7030978753150098,0.4091951022730833,0.5571530922822683
8,random,stratified,randomforest,0.7147322381197823,0.41351265820354033,0.7265370760870533
8,tgb,uniform,maxent,0.6857934237666121,0.36865472718778775,0.6322041721074967
8,tgb,uniform,xgboost,0.7210685620117173,0.4396776824002317,0.5038246278125176
8,tgb,uniform,randomforest,0.7178682424826531,0.42727998385212074,0.700268325052898
8,tgb,tgb,maxent,0.682192875329048,0.3551146501341601,0.6849377409848415
8,tgb,tgb,xgboost,0.707756152307126,0.40304518304454395,0.6042339736329355
8,tgb,tgb,randomforest,0.7101493950539721,0.42646181509496284,0.6954861106358955
8,tgb,hybrid,maxent,0.6867484554083264,0.3917920016606757,0.6305727736458425
8,tgb,hybrid,xgboost,0.7320858920369597,0.462414758626384,0.5038561327183692
8,tgb,hybrid,randomforest,0.7271666928389451,0.44911089079880406,0.7002902116388825
8,tgb,stratified,maxent,0.6999050071184646,0.3892915001937653,0.6863037288593408
8,tgb,stratified,xgboost,0.7218637651956143,0.4200741975633126,0.6042339736329355
8,tgb,stratified,randomforest,0.7243728236536441,0.4269216031035846,0.6954861106358955
8,hybrid,uniform,maxent,0.6457781185244327,0.31846707888256154,0.663145018818027
8,hybrid,uniform,xgboost,0.6898207877456419,0.3835574064973389,0.5368770174667064
8,hybrid,uniform,randomforest,0.6934076998829773,0.40730023131361504,0.5199016252435409
8,hybrid,tgb,maxent,0.6573552343935295,0.3279028068589395,0.6649065101912526
8,hybrid,tgb,xgboost,0.7023930712919783,0.3954562954222032,0.5368770174667064
8,hybrid,tgb,randomforest,0.6992833373939094,0.41432075717505495,0.5199016252435409
8,hybrid,hybrid,maxent,0.6841314347413416,0.39001857694417197,0.6703738477345151
8,hybrid,hybrid,xgboost,0.7294825208310419,0.42951659530369907,0.5552561119062269
8,hybrid,hybrid,randomforest,0.7291838139999708,0.45900247326342436,0.501798516200592
8,hybrid,stratified,maxent,0.6665097518248321,0.36070248407834865,0.6623130625901247
8,hybrid,stratified,xgboost,0.7057413602096632,0.41595153023928083,0.5368770174667064
8,hybrid,stratified,randomforest,0.7059214511958067,0.4126531311125715,0.5199016252435409
9,random,uniform,maxent,0.7004489600498315,0.4062298531164982,0.6095037452487682
9,random,uniform,xgboost,0.7112199843134939,0.40769277149314664,0.5219607875298615
9,random,uniform,randomforest,0.711248466762336,0.4133859848391917,0.6807631459915437
9,random,tgb,maxent,0.7084264053464424,0.43082561524306706,0.6050833945637366
9,random,tgb,xgboost,0.7167373457116747,0.4028017640648135,0.5217295244166008
9,random,tgb,randomforest,0.7134818659192667,0.4051109533004171,0.6807458609831066
9,random,hybrid,maxent,0.7218033142403003,0.44849299241396645,0.6025350286122892
9,random,hybrid,xgboost,0.7246184850094108,0.43843167669253286,0.5217295244166008
9,random,hybrid,randomforest,0.724457438949693,0.4208565238930869,0.6807458609831066
9,random,stratified,maxent,0.7326008407390485,0.46914702006759124,0.6418118025786257
9,random,stratified,xgboost,0.718928922502857,0.40962135762351276,0.4722736505221444
9,random,stratified,randomforest,0.7223905407954857,0.42260176047843345,0.6185450666995803
