seed,zdist_target,zdist_realized,algorithm,auc_own,auc_common,inflation,n_bg
4,2.75,2.7253454434997466,xgboost,0.9485456470686314,0.5955097746604452,0.35303587240818624,1890
4,2.75,2.7253454434997466,randomforest,0.9493044620452107,0.6225185099070243,0.3267859521381864,1890
4,3.25,3.232503978752799,maxent,0.9274276199144567,0.5198634420392246,0.407564177875232,1890
4,3.25,3.232503978752799,xgboost,0.9572866585610553,0.6117772805388852,0.3455093780221701,1890
4,3.25,3.232503978752799,randomforest,0.9569199959426641,0.6430001410106453,0.3139198549320188,1890
4,3.75,3.7308172229167456,maxent,0.941980306954988,0.5286288007611623,0.41335150619382577,1890
4,3.75,3.7308172229167456,xgboost,0.9416315123679709,0.5939705434811622,0.34766096888680875,1890
4,3.75,3.7308172229167456,randomforest,0.9653675735447045,0.6559417756190895,0.309425797925615,1890
4,4.25,4.239190464583456,maxent,0.9520797214024352,0.5410550109413894,0.41102471046104583,1890
4,4.25,4.239190464583456,xgboost,0.9471239631090317,0.5818745638463727,0.365249399262659,1890
4,4.25,4.239190464583456,randomforest,0.962140134797092,0.6448995399190999,0.31724059487799217,1890
