seed,block,train_design,algorithm,auc,tss,boyce
0,~60km,hybrid,maxent,0.6534631548144917,0.31708462475236654,0.5527559105659051
0,~60km,hybrid,xgboost,0.7302801870828033,0.46305835124246714,0.5166254751335035
0,~60km,hybrid,randomforest,0.701127154012448,0.4212087706612799,0.6335849461155946
1,~40km,random,maxent,0.688479040275045,0.39177019826698045,0.6291866403186509
1,~40km,random,xgboost,0.7144103610328262,0.41444159407049047,0.42282088643974075
1,~40km,random,randomforest,0.722241037594195,0.4324890027310563,0.6039266627428148
1,~40km,tgb,maxent,0.7024309332985533,0.39613473990532855,0.5793143292418533
1,~40km,tgb,xgboost,0.7283183113267191,0.4275548374572475,0.6123075803319766
1,~40km,tgb,randomforest,0.7120088910061189,0.39480429795534167,0.6318800756402868
1,~40km,hybrid,maxent,0.6842861499437969,0.3718818540935259,0.534449892599558
1,~40km,hybrid,xgboost,0.7148613192884478,0.40894009680444154,0.5351418043274572
1,~40km,hybrid,randomforest,0.7095669013888746,0.3855875805078659,0.7563677396298629
1,~50km,random,maxent,0.6909781944280419,0.3924433967673285,0.6375626085681326
1,~50km,random,xgboost,0.7117985072977716,0.417886320694225,0.45507372638769594
1,~50km,random,randomforest,0.7169556653625127,0.43003588176712493,0.7935648226613934
1,~50km,tgb,maxent,0.6910324903546454,0.3714796269345458,0.6230681815524458
1,~50km,tgb,xgboost,0.7141445362748013,0.41751551281574084,0.6175360515374086
1,~50km,tgb,randomforest,0.716224614101785,0.4282422262243025,0.6965700744306329
1,~50km,hybrid,maxent,0.6960307243961842,0.374941935891061,0.6893965246792174
1,~50km,hybrid,xgboost,0.7272792240838892,0.4515270143766844,0.6424335410144235
1,~50km,hybrid,randomforest,0.7191447516207592,0.4205620761437384,0.756705051169353
1,~60km,random,maxent,0.6740616605254619,0.3653751440675769,0.5339769201827334
1,~60km,random,xgboost,0.7046008374299546,0.4006206293154332,0.3705090338702276
1,~60km,random,randomforest,0.7045304114833645,0.4317975088515219,0.6024128778598238
1,~60km,tgb,maxent,0.6801158057731105,0.3753308895126385,0.5005051613477207
1,~60km,tgb,xgboost,0.7109777131376239,0.4104063196144619,0.4537791751551733
1,~60km,tgb,randomforest,0.699614532797946,0.41466677987512135,0.5513927774877967
1,~60km,hybrid,maxent,0.6726959256073434,0.36122689140126496,0.5036866109340985
1,~60km,hybrid,xgboost,0.7213023137555148,0.43378422950031525,0.48927736146176876
1,~60km,hybrid,randomforest,0.7022608661983533,0.40331146003693713,0.6818077143203587
