lat,lon,composite_score,nearest_volcano,dist_volcano_km,estimated_burial_m
-7.92,113.0,0.705,Bromo,6.0,7.4
-7.92,113.3,0.705,Lamongan,7.9,5.1
-7.92,113.32,0.705,Lamongan,6.8,6.3
-7.92,113.34,0.705,Lamongan,6.3,7.0
-7.92,113.36,0.705,Lamongan,6.6,6.6
-7.92,113.38,0.705,Lamongan,7.5,5.5
-7.9,112.98,0.705,Bromo,5.7,7.9
-7.9,113.0,0.705,Bromo,7.2,5.8
-7.88,112.98,0.705,Bromo,7.6,5.4
-7.8,112.34,0.705,Kelud,14.9,1.3
-7.74,112.44,0.705,Arjuno-Welirang,14.9,1.3
-7.72,112.44,0.705,Arjuno-Welirang,14.9,1.3
-7.94,113.28,0.704,Lamongan,8.1,4.9
-7.52,112.6,0.704,Penanggungan,11.0,2.7
-7.52,112.66,0.704,Penanggungan,11.1,2.7
-7.92,113.02,0.703,Bromo,8.1,4.9
-8.12,112.82,0.702,Semeru,11.3,2.6
-8.1,112.82,0.702,Semeru,11.3,2.6
-7.54,112.56,0.702,Penanggungan,11.3,2.6
-7.54,112.7,0.7,Penanggungan,11.4,2.5
-8.04,112.26,0.699,Kelud,13.3,1.7
-7.56,112.54,0.699,Penanggungan,11.6,2.5
-8.08,112.82,0.698,Semeru,11.7,2.4
-8.14,112.82,0.697,Semeru,11.8,2.3
-8.04,112.84,0.697,Semeru,11.8,2.3
-8.0,112.86,0.697,Bromo,11.8,2.3
-7.56,112.72,0.697,Penanggungan,11.7,2.4
-8.02,112.22,0.696,Kelud,13.9,1.5
-8.02,112.86,0.696,Semeru,11.9,2.3
-7.98,113.42,0.696,Lamongan,8.5,4.5
-7.52,112.58,0.696,Penanggungan,11.9,2.3
-7.52,112.68,0.695,Penanggungan,12.0,2.3
-8.0,112.2,0.694,Kelud,14.2,1.4
-7.9,113.34,0.694,Lamongan,8.6,4.5
-8.04,112.24,0.693,Kelud,14.3,1.4
-7.96,113.42,0.692,Lamongan,8.7,4.4
-8.06,112.28,0.691,Kelud,14.8,1.3
-8.06,112.82,0.691,Semeru,12.4,2.1
-7.9,113.36,0.691,Lamongan,8.8,4.3
-8.16,112.82,0.69,Semeru,12.6,2.0
-7.98,113.02,0.69,Bromo,8.8,4.3
-7.88,113.0,0.69,Bromo,8.8,4.2
-8.0,112.4,0.688,Kelud,12.8,1.9
