arm,world,config,algorithm,n_observed,auc_own,auc_true,map_jaccard,spearman_full,spearman_remote
with_road,5,random,maxent,503,0.8585153045401581,0.8447165872468233,0.8490415335463258,0.9829904248405875,0.9477947418704834
with_road,5,random,xgboost,503,0.8429274792046735,0.8314567789261247,0.6092220355673985,0.9437984782935271,0.9045973646996207
with_road,5,random,randomforest,503,0.8513637826375862,0.8383355675231916,0.7305985142269775,0.9433936021030518,0.8612046943014067
no_road,5,tgb,maxent,503,0.85983290692551,0.845948725799374,0.8328165204196081,0.9796424636554498,0.931709871409576
no_road,5,tgb,xgboost,503,0.8453333665778098,0.8288754451892457,0.6236830954016103,0.9432785273009077,0.9090411400736637
no_road,5,tgb,randomforest,503,0.8475465556202224,0.8390053590905462,0.7360872418210793,0.9389407737493927,0.8346473575231941
with_road,5,tgb,maxent,503,0.8593075929865428,0.8458217001273362,0.8329676855318938,0.9797923793293272,0.9313405492034674
with_road,5,tgb,xgboost,503,0.8424951039118647,0.8296719341563066,0.6202738367769499,0.9427477931628648,0.9105620976433172
with_road,5,tgb,randomforest,503,0.8485733773374559,0.8379853700233688,0.7397022215959795,0.9373490652033921,0.8487835591623497
no_road,6,random,maxent,494,0.858480242147557,0.8422844859476191,0.8484263756736975,0.993091863174226,0.9753327744525597
no_road,6,random,xgboost,494,0.8509026463017996,0.8191814630853385,0.5471151704165739,0.9547671729225065,0.9366545578285573
no_road,6,random,randomforest,494,0.8561977205558613,0.8379692205747272,0.7277999782314618,0.9624976636147518,0.8987179905156093
with_road,6,random,maxent,494,0.8560216020090616,0.8419174335545897,0.8430917233372035,0.9926663757153068,0.9772423295034224
with_road,6,random,xgboost,494,0.8534714626781348,0.817538945769814,0.5406158581391157,0.9519428234895405,0.9259616819773041
with_road,6,random,randomforest,494,0.856317196896554,0.8388421958875527,0.7170936737027537,0.9601111852238355,0.8838811810185238
