filename,title,lang,year_ce,century,word_count,total_keywords,indic,pre_indic,ambiguous,pre_indic_ratio,has_hyang,has_manhuri,has_wuku
DHARMA_INSIDENKTukMas.xml,Praise of a mountain stream (mid-7th c. CE),san-Latn,650.0,7,18,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKTulangan.xml,"Tulangan (832 Śaka, 910-08-13)",unknown,910.0,10,82,2,2,0,0,0.0,False,False,False
DHARMA_INSIDENKTulangEr.xml,Tulang Er III (914-12-30),kaw-Latn,914.0,10,718,5,3,1,1,0.2,True,False,False
DHARMA_INSIDENKTunahan.xml,The Polengan plates: Tunahan Charter (794 Śaka),kaw-Latn,872.0,9,182,3,3,0,0,0.0,False,False,False
DHARMA_INSIDENKTuruMangambil.xml,"Turu Mangambil (~830 Śaka, ~908 CE)",unknown,908.0,10,0,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKUpitI.xml,Upit I (788 Śaka),kaw-Latn,866.0,9,20,3,2,0,1,0.0,False,False,False
DHARMA_INSIDENKWangkud.xml,Demarcation of Asam Panjang (874 CE),kaw-Latn,874.0,9,43,4,3,0,1,0.0,False,False,False
DHARMA_INSIDENKWatuGenuk.xml,Watu Genuk slab (8th c. CE),san-Latn,750.0,8,62,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKWatuRidang.xml,"Watu Ridang (832 Śaka, 910-03-22)",unknown,910.0,10,649,10,5,2,3,0.2,True,True,False
DHARMA_INSIDENKWayuku.xml,Wayuku (776 Śaka),kaw-Latn,854.0,9,25,3,2,0,1,0.0,False,False,False
DHARMA_INSIDENKWintangMasI.xml,Wintang Mas I (800 Śaka),kaw-Latn,878.0,9,310,9,6,1,2,0.111,True,False,False
DHARMA_INSIDENKWintangMasII.xml,"Wintang Mas II (841 Śaka, 919-10-12)",kaw-Latn,919.0,10,290,5,3,1,1,0.2,True,False,False
DHARMA_INSIDENKWukiran.xml,"Stela of Pereng, also known as Wukiran inscription (784 Śaka, 863-1-25 CE)",kaw-Latn,863.0,9,161,7,4,1,2,0.143,True,False,False
DHARMA_INSIDENKWuruTunggal.xml,Wuru Tunggal (833 Śaka),kaw-Latn,911.0,10,122,5,3,2,0,0.4,True,False,False
