rank,language,concept,form,p_substrate,p_austronesian,e022_tier,form_length,vowel_ratio,ends_in_vowel,has_glottal,has_nasal_cluster,has_prefix_like,semantic_domain
161,Makassar,skin,bukku lɛŋ,0.6998,0.3002,0,9,0.333,0,0,1,0,BODY
162,Wolio,One Hundred,saatu,0.6983,0.3017,2,5,0.6,1,0,0,0,NUMBER
163,Wolio,to drink,sumpu,0.6854,0.3146,0,5,0.4,1,0,1,0,ACTION
164,Toraja-Sadan,to sit,noʔkoʔ,0.6851,0.3149,0,6,0.333,0,1,0,0,ACTION
165,Tolaki,to bite,kaa,0.6774,0.3226,1,3,0.667,1,0,0,1,ACTION
166,Bugis,"to open, uncover",timpaʔ,0.6755,0.3245,3,6,0.333,0,1,1,0,ACTION
167,Tolaki,night,wingi,0.6745,0.3255,0,5,0.4,1,0,1,0,OTHER
168,Wolio,Fifty,lima pulu,0.6741,0.3259,2,9,0.444,1,0,0,0,NUMBER
169,Muna,husband,mie no lambu,0.6692,0.3308,0,12,0.417,1,0,1,0,OTHER
170,Muna,wife,mie no lambu,0.6692,0.3308,2,12,0.417,1,0,1,0,OTHER
171,Muna,how?,pedahamai,0.6669,0.3331,2,9,0.556,1,0,0,0,GRAMMAR
172,Wolio,to hit,rambi,0.666,0.334,0,5,0.4,1,0,1,0,ACTION
173,Wolio,"to cut, hack",ndamu,0.666,0.334,1,5,0.4,1,0,1,0,ACTION
174,Wolio,to swell,gende,0.666,0.334,3,5,0.4,1,0,1,0,ACTION
175,Makassar,Twenty,ruampulo,0.6646,0.3354,2,8,0.5,1,0,1,0,NUMBER
176,Muna,how?,pedahai,0.6571,0.3429,2,7,0.571,1,0,0,0,GRAMMAR
177,Toraja-Sadan,to sleep,mammaʔ,0.6553,0.3447,3,6,0.333,0,1,0,1,ACTION
178,Toraja-Sadan,to lie down,mammaʔ,0.6553,0.3447,2,6,0.333,0,1,0,1,ACTION
179,Bugis,red,ma-cəllaʔ,0.6542,0.3458,0,9,0.333,0,1,0,1,QUALITY
180,Bugis,small,ma-biccuʔ,0.6542,0.3458,2,9,0.333,0,1,0,1,QUALITY
181,Bugis,small,ma-rənniʔ,0.6542,0.3458,2,9,0.333,0,1,0,1,QUALITY
182,Tolaki,Ten,hopulo,0.6532,0.3468,0,6,0.5,1,0,0,0,NUMBER
183,Bugis,to steal,mennau,0.6518,0.3482,0,6,0.5,1,0,0,1,ACTION
184,Makassar,fog,saliu,0.6484,0.3516,0,5,0.6,1,0,0,0,NATURE
185,Bugis,if,nakko,0.6473,0.3527,1,5,0.4,1,0,0,1,GRAMMAR
186,Toraja-Sadan,child,pia,0.643,0.357,0,3,0.667,1,0,0,0,OTHER
187,Bugis,to split,pueʔ,0.6425,0.3575,2,4,0.5,0,1,0,0,ACTION
188,Makassar,to laugh,ammakkalaʔ,0.6417,0.3583,0,10,0.4,0,1,0,0,ACTION
189,Makassar,to hold,annaʔgalaʔ,0.6417,0.3583,0,10,0.4,0,1,0,0,ACTION
190,Bugis,green,ma-kudaraʔ,0.6413,0.3587,3,10,0.4,0,1,0,1,QUALITY
191,Tolaki,"to cut, hack",pole,0.6411,0.3589,1,4,0.5,1,0,0,1,ACTION
192,Toraja-Sadan,cloud,salebuʔ,0.6399,0.3601,0,7,0.429,0,1,0,0,NATURE
193,Wolio,to see,kamata,0.6381,0.3619,0,6,0.5,1,0,0,1,ACTION
194,Wolio,rope,puloli,0.6379,0.3621,0,6,0.5,1,0,0,0,OTHER
195,Muna,worm (earthworm),ghundeletu,0.6376,0.3624,3,10,0.4,1,0,1,0,OTHER
196,Makassar,how?,antekamma,0.6357,0.3643,2,9,0.444,1,0,1,0,GRAMMAR
197,Bugis,to hit,tətteʔ,0.6347,0.3653,0,6,0.333,0,1,0,0,ACTION
198,Toraja-Sadan,to come,sae,0.6326,0.3674,0,3,0.667,1,0,0,0,ACTION
199,Makassar,to cook,appallu,0.6279,0.3721,0,7,0.429,1,0,0,0,ACTION
200,Wolio,Six,ʔana,0.6271,0.3729,3,4,0.5,1,1,0,0,NUMBER
201,Tolaki,"no, not",oki,0.627,0.373,2,3,0.667,1,0,0,0,GRAMMAR
202,Wolio,"to cut, hack",laelae,0.6266,0.3734,1,6,0.667,1,0,0,0,ACTION
203,Tolaki,"to tie up, fasten",onggo,0.6253,0.3747,1,5,0.4,1,0,1,0,ACTION
