filename,title,lang,date_ce,century,lat,lon,geocode_method,confidence,geocode_note,nearest_volcano,volcano_dist_km
DHARMA_INSIDENKLintakan.xml,"Lintakan (841 Śaka, 919-07-12)",kaw-Latn,919,10,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKLurah.xml,Lurah (E. 14),,,,-7.613422,112.6118635,candi_match,medium,Matched candi: lurah,Penanggungan,1.74
DHARMA_INSIDENKMadhawapura.xml,Madhawapura (13th c. CE),kaw-Latn,,,-7.6115047,112.6106941,candi_match,medium,Matched candi: pura,Penanggungan,1.64
DHARMA_INSIDENKMamali.xml,The Polengan plates: Mamali Charter (800 Śaka),kaw-Latn,878,9,-7.6,110.35,known_location,medium,Kedu-Prambanan area (Polengan),Merapi,11.96
DHARMA_INSIDENKManahimanuk.xml,Manah i Manuk Charter (1350–1356 CE),kaw-Latn,1356,14,-7.55,112.39,known_location,medium,Majapahit area,Penanggungan,25.95
DHARMA_INSIDENKManjusrigerha.xml,Manjusrigerha (792 CE),omy-Latn,792,8,-7.61,110.2,known_location,medium,Kedu area,Merapi,27.58
DHARMA_INSIDENKMantyasihI.xml,The Charter of Mantyasih I,kaw-Latn,,,-7.47,110.18,known_location,high,"Magelang, Kedu",Sumbing,15.72
DHARMA_INSIDENKMantyasihII.xml,"Mantyasih II (829 Śaka, 907-04-11)",kaw-Latn,907,10,-7.47,110.18,known_location,high,"Magelang, Kedu",Sumbing,15.72
DHARMA_INSIDENKMantyasihIII.xml,The Charter of Mantyasih III,kaw-Latn,,,-7.47,110.18,known_location,high,"Magelang, Kedu",Sumbing,15.72
DHARMA_INSIDENKMaribong.xml,The Maribong Charter of Wisnuwardhana (1170 Śaka),kaw-Latn,1248,13,-8.0,112.5,known_location,medium,Malang area,Kelud,22.32
DHARMA_INSIDENKMasahar.xml,Charter of Masahar (852 Śaka),kaw-Latn,930,10,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKMula-Malurung.xml,Mula-Malurung,kaw-Latn,,,-8.05,112.45,known_location,medium,Malang area,Kelud,20.39
DHARMA_INSIDENKMunggut.xml,Munggut charter (944 Śaka),kaw-Latn,1022,11,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKNarasinghanagara.xml,Narasinghanagara,kaw-Latn,,,-7.6138526,112.6106987,candi_match,medium,Matched candi: naga,Penanggungan,1.85
DHARMA_INSIDENKNglumbangDungik.xml,Stone from Nglumbang Dungik (9th-10th c. CE),san-Latn,,,-7.6,112.0,known_location,low,East Java,Kelud,50.13
DHARMA_INSIDENKPakisWetan.xml,The Pakis Wetan Charter of Kertanagara (1188 Śaka),kaw-Latn,1266,13,-8.02,112.65,known_location,medium,Malang area,Semeru,31.37
DHARMA_INSIDENKPalepangan.xml,Palepangan charter (828 Śaka),kaw-Latn,906,10,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKPananggaran.xml,Pananggaran (791 Śaka),kaw-Latn,869,9,-7.6,110.35,known_location,medium,Kedu-Prambanan area,Merapi,11.96
DHARMA_INSIDENKPanunggalan.xml,"Panunggalan charter (818 Śaka, 896-08-15 CE)",kaw-Latn,896,9,-7.6,110.35,known_location,medium,Kedu-Prambanan area,Merapi,11.96
DHARMA_INSIDENKParablyan.xml,Parablyan (between 1177 and 1208 Śaka),kaw-Latn,1286,13,-7.8,112.01,known_location,medium,Kediri area,Kelud,36.07
DHARMA_INSIDENKPenampihan.xml,Penampihan,,,,-7.9027228,111.7952694,candi_match,medium,Matched candi: penampihan,Kelud,56.77
DHARMA_INSIDENKPlalangan.xml,Stone from Plalangan (9th-10th c. CE),san-Latn,,,-7.6,110.35,known_location,low,Central Java,Merapi,11.96
DHARMA_INSIDENKPoh.xml,Charter of Poh (Randusari I),kaw-Latn,,,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKPucangan.xml,Charter of Pucangan (1041-11-6),kaw-Latn,,,-7.52,111.6,known_location,high,Surabaya area,Lawu,46.82
DHARMA_INSIDENKPuhawangGlis.xml,Puhawang Glis (749 Śaka),omy-Latn,827,9,-5.4,105.25,known_location,medium,"Lampung, Sumatra",Krakatau,80.08
DHARMA_INSIDENKRabvan.xml,"Rabvan (827 Śaka, 906-02-03)",,905,10,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKRameswarapura.xml,Rameswarapura charter (1197 Śaka),kaw-Latn,1275,13,-7.55,112.39,known_location,medium,Majapahit area,Penanggungan,25.95
DHARMA_INSIDENKRukam.xml,Charter of Rukam (829 Śaka),kaw-Latn,907,10,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKRumwigaI.xml,"Rumwiga I (826 Śaka, 904-12-28)",,904,10,-7.75,110.4,known_location,medium,Bantul area (Payak),Merapi,23.76
DHARMA_INSIDENKRumwigaII.xml,"Rumwiga II (827 Śaka, 905-07-05)",,905,10,-7.75,110.4,known_location,medium,Bantul area (Payak),Merapi,23.76
DHARMA_INSIDENKSalingsinganII.xml,Donation Record of Salingsingan II (802 Śaka) and Kikil Batu Addendum (827 Śaka),kaw-Latn,880,9,-7.6,110.35,known_location,medium,Near Candi Asu/Lumbung,Merapi,11.96
DHARMA_INSIDENKSangguran.xml,Sangguran Charter (928-08-02),kaw-Latn,,,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKSangHyangTapak.xml,Sang Hyang Tapak Charter of Jayabhūpati (952 Śaka),kaw-Latn,1030,11,-7.6,112.0,known_location,medium,East Java,Kelud,50.13
DHARMA_INSIDENKSangMakudur.xml,"Sang Makudur (~830 Śaka, ~908 CE)",,908,10,-7.6,110.35,known_location,medium,Mataram Central Java,Merapi,11.96
DHARMA_INSIDENKSarwadharma.xml,Sarwadharma (1191 Śaka),kaw-Latn,1269,13,-7.55,112.4,known_location,high,East Java,Penanggungan,24.88
