name,lat,lon,suitability,burial_depth_cm,zone
Tugu Adipura Bundaran Loceret,-7.6468715,111.8926795,0.72943807,27.46624142613278,A
osm_7723512611,-7.0278873,112.0981019,0.4787084,3.3731291136262533,A
Batu Lumpang,-7.23649,112.0372,0.5974419,8.171720047715922,A
Monumen UM,-7.9633537,112.6192574,0.93063366,86.23393954580185,A
osm_8010525783,-7.0635391,113.2347395,0.705075,0.7967672392584371,A
osm_8244908987,-8.3332714,114.1124988,0.7222143,0.09877084882088527,A
Watu semar,-7.6885769,112.5864062,0.8667685,58.3277254419648,A
Kendalisodo,-7.7024158,112.5445359,0.88123703,69.900788385063,A
Petilasan Brawijaya,-7.7041743,112.5452303,0.967401,70.19324262060462,A
Petilasan Joko Lelono,-7.7030316,112.5457665,0.91016406,69.78601497634436,A
Makam Krapyak,-7.6903015,112.5481078,0.9789426,66.12907682734794,A
Candi Wisnu,-7.6147858,112.613817,0.96154875,41.052667055678725,A
Candi Guru,-7.6148901,112.6127009,0.9589532,41.19872066972384,A
Candi Selokelir,-7.6251042,112.6080982,0.72585225,43.38882454607164,A
Candi,-7.6176551,112.610255,0.97268254,41.92348464612649,A
Candi Naga,-7.6138526,112.6106987,0.9696472,41.26866753097179,A
Candi Lurah,-7.613422,112.6118635,0.96287185,41.06582027514003,A
Candi,-7.6252159,112.6159826,0.9750896,42.43703612175143,A
Candi Merak,-7.6066004,112.6133722,0.97719586,39.837930556224364,A
Petilasan Narotama,-7.6073212,112.5938023,0.83108765,42.181306340830865,A
Recolanang,-7.6726034,112.5835064,0.68320316,55.61057541672944,A
Tugu Reyog Ponorogo,-7.7993025,111.5123117,0.7324232,6.214874699404189,A
Tugu Program Pokok PKK,-6.9030605,112.0689503,0.7700369,1.821073300191871,A
Tugu Gerdu Laut,-6.8868998,112.0524298,0.9068589,1.6584971660546208,A
Replika Kaabah,-6.9011758,112.0411517,0.65205395,1.7489358329502234,A
osm_9581120223,-6.9177319,112.0535194,0.81143814,1.9163248129299348,A
Perempatan Gununggangsir,-7.5857822,112.723543,0.73691845,27.163777111055673,A
Patung Kuda Tirtawangi,-8.2366844,114.3582219,0.79534453,0.03159393876335716,A
Tugu Pakah,-6.9820666,112.1138449,0.63144094,2.762435194995842,A
Monumen Mastrip,-7.3074674,112.718817,0.8759778,8.753148579042444,A
osm_9989878290,-7.2948913,112.7388562,0.8523349,7.917385351212632,A
Tugu Manunggal Utara,-6.8970317,112.0796219,0.7923497,1.7906083242218516,A
Tugu Singget,-6.9846945,111.6224474,0.5377927,1.0448518484607694,A
Tugu Kartonyono,-7.4107521,111.4433315,0.76234764,2.3202371733891978,A
Candi Penampihan,-7.9027228,111.7952694,0.897738,26.227179388745384,A
osm_10314896612,-8.1929773,114.4430387,0.83814394,0.021258541339939454,A
Tugu Perbatasan Tuban - Lamongan,-6.9001609,112.170954,0.8967812,1.9617600032456075,A
osm_11005901019,-7.9723886,112.6218083,0.8962426,85.40399021630479,A
osm_11083954444,-7.7165972,111.147358,0.77020204,1.0198355631622054,A
Boonpring,-8.1557317,112.7620369,0.6406515,64.79876846384471,A
Candi Rengganis,-7.9647946,113.5730157,0.8976395,2.3435067860034158,A
osm_11197251057,-8.004959,113.7464172,0.7760858,0.8747037894399221,A
osm_11197381439,-7.9958393,113.4541422,0.51318175,5.079073518645468,A
Goa Botol,-7.6169471,112.6193855,0.92577535,40.74177690970246,A
Canti Pasetran,-7.5757693,112.6150601,0.5536302,35.15383086246037,A
Canti Jedong,-7.579683,112.6130256,0.45845625,35.89903944575401,A
Candi Tumpak Wolu,-7.6032232,112.6158902,0.87925047,39.04867270552739,A
Candi Wayang,-7.6054843,112.6217173,0.9457914,38.75264045248345,A
