lat,lon,sed_rate_mm_yr,depth_400ce_m,depth_200bce_m,depth_1000bce_m
-8.299999999999997,111.54999999999991,0.52,0.8,1.2,1.6
-8.299999999999997,111.59999999999991,0.52,0.8,1.2,1.6
-8.299999999999997,111.6499999999999,0.52,0.8,1.2,1.6
-8.299999999999997,111.6999999999999,0.53,0.9,1.2,1.6
-8.299999999999997,111.7499999999999,0.53,0.9,1.2,1.6
-8.299999999999997,111.7999999999999,0.54,0.9,1.2,1.6
-8.299999999999997,111.8499999999999,0.55,0.9,1.2,1.7
-8.299999999999997,111.89999999999989,0.57,0.9,1.3,1.7
-8.299999999999997,111.94999999999989,0.59,1.0,1.3,1.8
-8.299999999999997,111.99999999999989,0.62,1.0,1.4,1.9
-8.299999999999997,112.04999999999988,0.65,1.1,1.4,2.0
-8.299999999999997,112.09999999999988,0.68,1.1,1.5,2.1
-8.299999999999997,112.14999999999988,0.72,1.2,1.6,2.2
-8.299999999999997,112.19999999999987,0.76,1.2,1.7,2.3
-8.299999999999997,112.24999999999987,0.79,1.3,1.8,2.4
-8.299999999999997,112.29999999999987,0.82,1.3,1.8,2.5
-8.299999999999997,112.34999999999987,0.84,1.4,1.9,2.6
-8.299999999999997,112.39999999999986,0.86,1.4,1.9,2.6
-8.299999999999997,112.44999999999986,0.88,1.4,2.0,2.7
-8.299999999999997,112.49999999999986,0.91,1.5,2.0,2.8
-8.299999999999997,112.54999999999986,0.95,1.6,2.1,2.9
-8.299999999999997,112.59999999999985,1.02,1.7,2.3,3.1
-8.299999999999997,112.64999999999985,1.11,1.8,2.5,3.3
-8.299999999999997,112.69999999999985,1.22,2.0,2.7,3.7
-8.299999999999997,112.74999999999984,1.37,2.2,3.0,4.1
-8.299999999999997,112.79999999999984,1.53,2.5,3.4,4.6
-8.299999999999997,112.84999999999984,1.67,2.7,3.7,5.0
-8.299999999999997,112.89999999999984,1.74,2.8,3.9,5.3
-8.299999999999997,112.94999999999983,1.73,2.8,3.8,5.2
-8.299999999999997,112.99999999999983,1.62,2.6,3.6,4.9
-8.299999999999997,113.04999999999983,1.45,2.4,3.2,4.4
-8.299999999999997,113.09999999999982,1.27,2.1,2.8,3.9
-8.299999999999997,113.14999999999982,1.11,1.8,2.5,3.3
-8.299999999999997,113.19999999999982,0.96,1.6,2.1,2.9
-8.299999999999997,113.24999999999982,0.85,1.4,1.9,2.6
-8.299999999999997,113.29999999999981,0.76,1.2,1.7,2.3
-8.299999999999997,113.34999999999981,0.7,1.1,1.6,2.1
-8.299999999999997,113.3999999999998,0.65,1.1,1.5,2.0
-8.299999999999997,113.4499999999998,0.62,1.0,1.4,1.9
-8.299999999999997,113.4999999999998,0.61,1.0,1.3,1.8
-8.299999999999997,113.5499999999998,0.6,1.0,1.3,1.8
-8.299999999999997,113.5999999999998,0.61,1.0,1.4,1.8
-8.299999999999997,113.64999999999979,0.63,1.0,1.4,1.9
-8.299999999999997,113.69999999999979,0.66,1.1,1.5,2.0
-8.299999999999997,113.74999999999979,0.71,1.2,1.6,2.1
-8.299999999999997,113.79999999999978,0.77,1.3,1.7,2.3
-8.299999999999997,113.84999999999978,0.86,1.4,1.9,2.6
-8.299999999999997,113.89999999999978,0.97,1.6,2.2,2.9
-8.299999999999997,113.94999999999978,1.08,1.8,2.4,3.3
