algorithm,design,seed_i,seed_j,jaccard,footprint_single_run_share,replaced_share
randomforest,tgb,3,8,0.721653405101802,0.278346594898198,0.16167400132533602
randomforest,tgb,3,9,0.736307179419097,0.26369282058090304,0.15186991317350007
randomforest,tgb,4,5,0.7203952176327867,0.2796047823672133,0.16252357568858
randomforest,tgb,4,6,0.6755541004142408,0.3244458995857592,0.1936349888705758
randomforest,tgb,4,7,0.7332901382732775,0.2667098617267225,0.15387490867075593
randomforest,tgb,4,8,0.7262741072083303,0.2737258927916697,0.1585645591558629
randomforest,tgb,4,9,0.6674363587426159,0.33256364125738413,0.19944607751516494
randomforest,tgb,5,6,0.6870574745592661,0.31294252544073387,0.1854960664706982
randomforest,tgb,5,7,0.7323462749830748,0.2676537250169252,0.15450359369955652
randomforest,tgb,5,8,0.6957586584452257,0.30424134155477434,0.179413114029871
randomforest,tgb,5,9,0.7230899855074585,0.2769100144925415,0.16070548655123784
randomforest,tgb,6,7,0.7652634262661407,0.23473657373385926,0.1329753793349532
randomforest,tgb,6,8,0.5948458078152946,0.4051541921847054,0.25403972609722525
randomforest,tgb,6,9,0.7176587330541246,0.28234126694587536,0.16437564780045197
randomforest,tgb,7,8,0.6773448855701542,0.32265511442984585,0.19236062732570983
randomforest,tgb,7,9,0.6973725953912266,0.30262740460877335,0.1782916758703889
randomforest,tgb,8,9,0.6398161047645584,0.3601838952354416,0.21964895587310754
randomforest,hybrid,0,1,0.6901825074309674,0.30981749256903257,0.18330416461352858
randomforest,hybrid,0,2,0.5766871165644172,0.4233128834355828,0.26848249027237353
randomforest,hybrid,0,3,0.72947001866028,0.27052998133971995,0.15642363176048799
randomforest,hybrid,0,4,0.6346012304017553,0.3653987695982447,0.22354000645676517
randomforest,hybrid,0,5,0.7426566386355561,0.2573433613644439,0.14767301581907463
randomforest,hybrid,0,6,0.7187121267430824,0.2812878732569176,0.16366200533532704
randomforest,hybrid,0,7,0.7530121379104923,0.24698786208950774,0.14089341240038736
randomforest,hybrid,0,8,0.7108430232558139,0.28915697674418606,0.1690143238237643
randomforest,hybrid,0,9,0.717057373342475,0.282942626657525,0.16478344349480906
randomforest,hybrid,1,2,0.5389020356400434,0.46109796435995665,0.29962788642889915
randomforest,hybrid,1,3,0.6561981145349656,0.34380188546503443,0.20758499991504253
randomforest,hybrid,1,4,0.6375803444725785,0.3624196555274215,0.22131412162506586
randomforest,hybrid,1,5,0.683943976308674,0.316056023691326,0.1876879683278677
randomforest,hybrid,1,6,0.6723403046146852,0.3276596953853148,0.19592883965133465
randomforest,hybrid,1,7,0.6716515416187352,0.3283484583812648,0.1964215927820162
randomforest,hybrid,1,8,0.6895274731584085,0.31047252684159155,0.1837629347696804
randomforest,hybrid,1,9,0.6667280270740997,0.3332719729259003,0.19995582213311133
randomforest,hybrid,2,3,0.5814534657190074,0.41854653428099264,0.2646594056377755
randomforest,hybrid,2,4,0.517220933230214,0.482779066769786,0.31819958200941323
randomforest,hybrid,2,5,0.5785478636375828,0.4214521363624172,0.26698723939306407
randomforest,hybrid,2,6,0.5962299972877678,0.4037700027122322,0.25295227091227296
randomforest,hybrid,2,7,0.5668228528832331,0.4331771471167669,0.27646848928686724
randomforest,hybrid,2,8,0.5129500379182251,0.48704996208177487,0.32192071772042213
randomforest,hybrid,2,9,0.56401227760135,0.43598772239865,0.2787623400676262
randomforest,hybrid,3,4,0.5754209385121931,0.4245790614878069,0.2695019795082664
randomforest,hybrid,3,5,0.7604319344321139,0.23956806556788612,0.1360848215044263
randomforest,hybrid,3,6,0.7344394671696334,0.2655605328303666,0.15311029174383636
randomforest,hybrid,3,7,0.7426308387001258,0.2573691612998742,0.14769000730633955
randomforest,hybrid,3,8,0.6763415745698986,0.32365842543010137,0.19307426979083478
randomforest,hybrid,3,9,0.7335964770166575,0.26640352298334247,0.15367101082357743
randomforest,hybrid,4,5,0.6000054372944023,0.39999456270559774,0.2499957521281838
randomforest,hybrid,4,6,0.5886465475354964,0.4113534524645036,0.25893327442951086
randomforest,hybrid,4,7,0.6363964965939107,0.36360350340608927,0.22219767896283962
randomforest,hybrid,4,8,0.6625376064633681,0.3374623935366319,0.20298030686626
randomforest,hybrid,4,9,0.6144456026773468,0.3855543973226532,0.2388153535078925
randomforest,hybrid,5,6,0.7642579852211581,0.23574201477884194,0.1336210558510186
randomforest,hybrid,5,7,0.7900691962588396,0.20993080374116035,0.11727524510220377
randomforest,hybrid,5,8,0.6800262624532557,0.3199737375467443,0.1904575807520432
randomforest,hybrid,5,9,0.794736521102708,0.20526347889729202,0.11436970077990927
randomforest,hybrid,6,7,0.7536650774731823,0.24633492252681766,0.1404686252187654
randomforest,hybrid,6,8,0.6740289846827756,0.3259710153172244,0.19472244405552816
randomforest,hybrid,6,9,0.7123612505273571,0.2876387494726429,0.1679778431006066
randomforest,hybrid,7,8,0.6744814635673031,0.3255185364326969,0.1943996057974954
randomforest,hybrid,7,9,0.7353088603862598,0.26469113961374025,0.1525325811768304
randomforest,hybrid,8,9,0.6598649048834487,0.34013509511655127,0.20491733641445634
