title,date,source,identifier,description,relevance,tags
AVOND-EDITIE. EERSTE BLAD. Dit nummer bestaat uit twee bladen. SCHOENMAKER HOUD JE BIJ JE LEEST!,1911/03/04,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB08:000123816:mpeg21:a0001:ocr,,0,
Advertentie,1857/02/18,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB32:164593014:mpeg21:a00019:ocr,,0,
De Solo-werken.,1903/12/15,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001625193:mpeg21:a00064:ocr,,0,
Gemengd Indisch Nieuws.,1914/02/14,Koninklijke Bibliotheek C 96,http://resolver.kb.nl/resolve?urn=ddd:011036623:mpeg21:a0126:ocr,,0,
Korte Mededeelingen.,1909/09/04,Tresoar,http://resolver.kb.nl/resolve?urn=ddd:010761159:mpeg21:a0029:ocr,,0,
NEDERL.-INDIE,1932/04/15,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB15:000119013:mpeg21:a00009:ocr,,0,
ALLERLEI.,1875/02/18,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB23:001397041:mpeg21:a00014:ocr,,0,
"TWEEDE BLAD. De Preanger Bode. MAANDAG 14 DECEMBER 1903, No. 290. Redacteur: G. L. LA BASTIDK. Bandoeng. De Solo-werken. II",1903/12/14,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB08:000155713:mpeg21:a0017:ocr,,0,
Indische Landbouwtechnici in Nederland. De twaalfde wetenschappelijke bijeenkomst te Wapeningen.,1931/01/19,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001724032:mpeg21:a00016:ocr,,0,
Gerestaureerde Borobudur moet weer eeuwen meekunnen,1983/02/28,Nederlands Dagblad,http://resolver.kb.nl/resolve?urn=ddd:010628395:mpeg21:a0046:ocr,,0,
CAUSERIE VAN KOLONEL VAN ERP OVER DEN T^ANDI-MENDOET,1932/03/14,KB NBM C 44 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010014023:mpeg21:a0280:ocr,,0,
GEMENGDE BERICHTEN.,1899/10/03,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB08:000093949:mpeg21:a0005:ocr,,0,
Nieuws uit Indië. EEN VONDST OP BALI.,1925/08/28,Drents Archief,http://resolver.kb.nl/resolve?urn=MMDA03:000112199:mpeg21:a0032:ocr,,0,
Kunst en Wetenschappen OUDE KERK ONTDEKT.,1928/11/16,Stadsarchief Breda,http://resolver.kb.nl/resolve?urn=MMSAB03:000064834:mpeg21:a0015:ocr,,0,
WETENSCHAP. DE UITGRAVINGEN TE ARMANT.,1929/01/10,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB04:000197175:mpeg21:a0083:ocr,,0,
NED.-INDIE,1925/08/26,Koninklijke Bibliotheek MM03C-101497,http://resolver.kb.nl/resolve?urn=ddd:011168631:mpeg21:a0100:ocr,,0,
Oost-Indië.,1925/08/24,Groninger archieven,http://resolver.kb.nl/resolve?urn=MMRHCG04:235220093:mpeg21:a00015:ocr,,0,
INDISCHE BOUWKUNST TE PARIJS. NEDERLANDS PAVILJOEN.,1931/04/05,KB C 98,http://resolver.kb.nl/resolve?urn=ddd:110570635:mpeg21:a0186:ocr,,0,
Kunst en Wetenschap,1927/12/30,Groninger archieven,http://resolver.kb.nl/resolve?urn=MMRHCG04:234990156:mpeg21:a00019:ocr,,0,
BOEKBESPREKING Wonderen der oudheid.,1926/06/12,Koninklijke Bibliotheek NBM Mfm MMK 0032,http://resolver.kb.nl/resolve?urn=ddd:011083557:mpeg21:a0168:ocr,,0,
GEMENGD,1904/02/27,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB23:001470099:mpeg21:a00059:ocr,,0,
Vergadering der Afdeeling 's-Bosch van 't Algemeen Nederlandsch Verbond.,1913/04/09,Stadsarchief 's-Hertogenbosch,http://resolver.kb.nl/resolve?urn=MMSADB01:000007203:mpeg21:a0020:ocr,,0,
RIJKE VONDSTEN IN PADANG LAWAS,1936/05/05,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB15:000126027:mpeg21:a00002:ocr,,0,
GEMENGD NIEUWS.,1902/11/06,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB04:000126925:mpeg21:a0031:ocr,,0,
"TWEEDE BLAD. De Preanger Bode. DONDERDAG 31 JANUARI 1907 No. 26. Redacteur W. F. M. van SCHAIK, te Bandoeng. BALISCHE HEILIGDOMMEN.",1907/01/31,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB08:000127011:mpeg21:a0016:ocr,,0,
Brieven van Bali.,1906/12/31,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=KBDDD02:000209326:mpeg21:a0108:ocr,,0,
