title,date,source,identifier,description,subject,relevance,tags,depth_m
AVOND-EDITIE. EERSTE BLAD. Dit nummer bestaat uit twee bladen. DE WORDING- VAN JAVA.,1910/04/08,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB08:000123057:mpeg21:a0001:ocr,,,1,JAVA,
MIDDEN-JAVA SOLO Het verdrinken der twee militairen.,1928/01/31,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001712074:mpeg21:a00058:ocr,,,1,JAVA,
MIDDEN-JAVA-PAGINA BODEMKAARTEERING. De arbeid van het laboratorium in Midden-Java.,1929/08/08,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001714096:mpeg21:a00090:ocr,,,1,JAVA,
Waarom liet de oertijd juist op Java sporen achter?,1963/06/07,Regionaal Historisch Centrum Eindhoven,http://resolver.kb.nl/resolve?urn=MMRHCE02:163648031:mpeg21:a00082:ocr,,,1,JAVA,
Wereldvermaarde Bouwwerken v. De Boroboedoer op Java,1936/06/07,Koninklijke Bibliotheek MM03C-101525,http://resolver.kb.nl/resolve?urn=ddd:011172248:mpeg21:a0001:ocr,,,1,JAVA,
"Koloniën. Batavia, 36 October.",1911/11/24,KB C 420,http://resolver.kb.nl/resolve?urn=ddd:010200232:mpeg21:a0040:ocr,,,1,JAVA,
WETENSCHAP PRAEHISTORISCH ONDERZOEK Buitenlandsche geleerden op Java.,1938/04/13,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=KBNRC01:000087779:mpeg21:a0118:ocr,,,1,JAVA,
De Malangsche Museumplannen.,1930/09/25,Koninklijke Bibliotheek C 96,http://resolver.kb.nl/resolve?urn=ddd:011072354:mpeg21:a0051:ocr,,,1,JAVA,
HINDOE-JAVAANSCHE KUNST.,1928/12/29,KB C 21,http://resolver.kb.nl/resolve?urn=ddd:010659730:mpeg21:a0208:ocr,,,1,JAVA,
DE PRAEHISTORISCHE VONDSTEN. In het Goenoeng-Kidoelsche. GROOT AANTAL STEENKISTGRAVEN EN WERKTUIGEN.,1934/07/14,KB C 98,http://resolver.kb.nl/resolve?urn=ddd:110572182:mpeg21:a0254:ocr,,,1,STONE,
DE PRAE-HISTORISCHE MENSCH OP JAVA. Een nieuwe vindplaats.,1926/10/05,Koninklijke Bibliotheek 1634 B1,http://resolver.kb.nl/resolve?urn=ddd:010970255:mpeg21:a0002:ocr,,,1,JAVA,
"HET NIEUWS VAN DEN DAG voor Nederlandsch-Indië. van Vrijdag 31 Mei 1918, No. 129. Directeur: K. WYBRANDS. Wd. Hoofdredacteur: H. MULDER. Redacteur: G. VAN LOON. Redacteur in Europa: G. WYBRANDS. Derde Blad. Alpinisme op Java.",1918/05/31,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=KBDDD02:000199058:mpeg21:a0030:ocr,,,1,JAVA,
"De ramp op Java en Sumatra. Batavia, 1 September.",1883/10/10,Stadsarchief Enschede,http://resolver.kb.nl/resolve?urn=MMSAEN01:000038439:mpeg21:a0001:ocr,,,1,JAVA,
Uit de Java-mail.,1896/01/08,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB15:000007002:mpeg21:a00025:ocr,,,1,JAVA,
"Nederlandsche Kolonien. BATAVIA, 19 Juni.",1871/08/03,KB C 21,http://resolver.kb.nl/resolve?urn=ddd:010099629:mpeg21:a0009:ocr,,,1,JAVA,
DE MAIL UIT OOST-INDIE. De ramp op Java en Sumatra.,1883/10/09,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB23:001416086:mpeg21:a00005:ocr,,,1,JAVA,
